# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity						
# Coated with Aluminum on 2013-08-15												
# Measured with Subaru Portable Spectrophotometer (SPS) on 2017-10-10 (Before 8th Recoating)									
# Measured three times each at around the position 1 and 2
# Contact: Hirofumi Okita (okita14@naoj.org)    						
#
# Wavelength (nm)	Pos.1 #1	Pos.1 #2	Pos.1 #3	Pos.2 #1	Pos.2 #2	Pos.2 #3
866	78.06 	78.96 	78.78 	75.78 	74.83 	76.58 
864	77.96 	78.84 	78.40 	75.46 	74.63 	76.47 
862	78.12 	78.28 	78.42 	75.29 	74.48 	75.95 
860	78.01 	78.29 	78.23 	75.11 	74.54 	76.23 
858	77.82 	78.28 	77.96 	75.23 	74.33 	76.11 
856	77.76 	78.31 	78.08 	74.75 	74.24 	75.95 
854	77.69 	78.14 	77.67 	74.90 	73.98 	75.69 
852	77.20 	77.85 	77.75 	74.56 	73.84 	75.86 
850	77.33 	78.02 	77.54 	74.65 	73.78 	75.47 
848	77.24 	77.55 	77.78 	74.49 	73.88 	75.42 
846	77.46 	77.77 	77.43 	74.48 	73.64 	75.20 
844	77.27 	77.63 	77.74 	74.18 	73.72 	75.40 
842	77.31 	77.38 	77.37 	74.13 	73.49 	75.37 
840	77.12 	77.67 	77.37 	74.03 	73.37 	75.43 
838	76.79 	77.28 	76.98 	74.05 	73.36 	74.87 
836	76.97 	77.70 	77.14 	73.84 	73.21 	75.08 
834	77.17 	77.32 	76.97 	74.50 	73.36 	74.88 
832	76.79 	77.42 	77.18 	74.19 	73.31 	74.95 
830	76.58 	76.86 	77.32 	73.70 	73.09 	74.75 
828	77.20 	77.44 	77.10 	73.75 	73.10 	74.85 
826	77.12 	77.45 	76.92 	73.97 	73.22 	75.06 
824	77.07 	77.29 	77.08 	73.99 	73.21 	75.04 
822	76.82 	77.21 	77.09 	73.97 	73.11 	75.13 
820	77.15 	77.68 	77.04 	73.98 	73.21 	75.08 
818	76.52 	77.52 	77.49 	73.92 	73.19 	75.02 
816	76.75 	77.16 	77.20 	73.98 	73.10 	75.02 
814	77.00 	77.28 	77.25 	73.86 	73.14 	74.87 
812	77.12 	77.04 	77.13 	73.82 	73.33 	74.81 
810	77.02 	77.66 	76.94 	73.93 	73.21 	75.18 
808	77.40 	77.76 	77.24 	74.11 	73.48 	75.36 
806	77.05 	77.55 	77.42 	74.24 	73.46 	75.05 
804	77.04 	77.46 	77.51 	74.37 	73.51 	75.14 
802	77.28 	77.54 	77.39 	74.18 	73.30 	75.41 
800	76.93 	77.75 	77.69 	74.45 	73.40 	75.39 
798	77.26 	77.47 	77.52 	74.45 	73.49 	75.33 
796	77.36 	77.71 	77.38 	74.43 	73.59 	75.63 
794	77.42 	77.53 	77.52 	74.32 	73.64 	75.73 
792	77.15 	77.80 	77.77 	74.57 	73.71 	75.61 
790	77.43 	78.18 	77.64 	74.62 	73.83 	75.77 
788	77.70 	77.96 	77.71 	74.85 	73.84 	75.64 
786	77.59 	77.84 	77.78 	74.67 	73.91 	75.56 
784	77.65 	78.08 	77.86 	74.73 	74.12 	75.73 
782	77.72 	78.16 	78.06 	74.69 	73.99 	75.92 
780	78.04 	78.39 	78.06 	74.88 	73.98 	75.90 
778	78.13 	78.26 	78.21 	74.76 	74.23 	75.95 
776	77.97 	78.29 	78.16 	74.99 	74.16 	75.87 
774	77.97 	78.65 	78.13 	75.04 	74.26 	76.00 
772	78.24 	78.43 	78.48 	75.04 	74.38 	76.11 
770	78.20 	78.63 	78.54 	75.12 	74.37 	76.25 
768	78.28 	78.54 	78.42 	75.28 	74.44 	76.25 
766	78.25 	78.69 	78.30 	75.35 	74.47 	76.19 
764	78.29 	78.60 	78.49 	75.46 	74.65 	76.42 
762	78.29 	78.82 	78.63 	75.37 	74.71 	76.17 
760	78.29 	78.91 	78.59 	75.49 	74.64 	76.29 
758	78.51 	78.76 	78.46 	75.54 	74.71 	76.48 
756	78.27 	78.97 	78.84 	75.71 	74.93 	76.52 
754	78.50 	78.81 	78.95 	75.61 	74.82 	76.59 
752	78.45 	78.70 	78.76 	75.71 	74.73 	76.60 
750	78.54 	79.06 	78.94 	75.66 	74.92 	76.78 
748	78.61 	79.01 	79.14 	75.77 	74.83 	76.86 
746	78.64 	79.16 	78.80 	75.81 	74.74 	76.76 
744	78.73 	79.23 	78.88 	75.86 	75.12 	76.82 
742	78.67 	79.16 	79.09 	75.75 	74.98 	76.82 
740	78.78 	79.15 	79.02 	75.90 	75.27 	77.01 
738	79.07 	79.50 	79.25 	75.84 	74.94 	77.08 
736	78.98 	79.17 	79.15 	76.00 	75.11 	77.05 
734	78.87 	79.36 	79.17 	75.93 	75.10 	77.04 
732	78.81 	79.53 	79.09 	75.95 	75.20 	77.10 
730	79.03 	79.49 	79.23 	76.10 	75.23 	77.33 
728	78.91 	79.33 	79.09 	76.26 	75.14 	77.21 
726	79.10 	79.58 	79.27 	76.32 	75.08 	77.26 
724	79.16 	79.49 	79.33 	76.26 	75.36 	77.13 
722	79.13 	79.67 	79.23 	76.14 	75.38 	77.18 
720	79.24 	79.49 	79.41 	76.33 	75.41 	77.00 
718	79.23 	79.41 	79.27 	76.20 	75.39 	77.38 
716	79.33 	79.42 	79.23 	76.35 	75.37 	77.16 
714	79.21 	79.64 	79.38 	76.43 	75.46 	77.50 
712	79.21 	79.79 	79.40 	76.33 	75.44 	77.10 
710	79.38 	79.66 	79.49 	76.36 	75.60 	77.49 
708	79.30 	79.84 	79.52 	76.22 	75.43 	77.36 
706	79.42 	79.74 	79.54 	76.43 	75.45 	77.42 
704	79.24 	79.78 	79.43 	76.31 	75.58 	77.53 
702	79.29 	79.59 	79.44 	76.47 	75.62 	77.33 
700	79.26 	79.87 	79.45 	76.38 	75.70 	77.49 
698	79.45 	79.75 	79.61 	76.48 	75.58 	77.61 
696	79.42 	79.85 	79.64 	76.53 	75.67 	77.46 
694	79.32 	79.89 	79.56 	76.26 	75.51 	77.37 
692	79.63 	79.89 	79.72 	76.43 	75.53 	77.72 
690	79.53 	79.83 	79.66 	76.47 	75.58 	77.66 
688	79.44 	79.98 	79.59 	76.57 	75.66 	77.63 
686	79.58 	79.88 	79.70 	76.52 	75.65 	77.36 
684	79.51 	79.79 	79.73 	76.64 	75.56 	77.64 
682	79.47 	79.76 	79.48 	76.47 	75.48 	77.38 
680	79.68 	79.93 	79.73 	76.49 	75.69 	77.68 
678	79.64 	79.86 	79.63 	76.41 	75.69 	77.53 
676	79.47 	79.92 	79.72 	76.60 	75.56 	77.43 
674	79.41 	80.08 	79.66 	76.41 	75.74 	77.63 
672	79.53 	80.06 	79.67 	76.55 	75.70 	77.51 
670	79.74 	79.96 	79.68 	76.67 	75.91 	77.43 
668	79.57 	79.88 	79.70 	76.58 	75.70 	77.51 
666	79.44 	79.79 	79.77 	76.55 	75.77 	77.57 
664	79.67 	79.89 	79.62 	76.61 	75.60 	77.74 
662	79.48 	79.85 	79.64 	76.53 	75.79 	77.64 
660	79.39 	80.04 	79.74 	76.49 	75.72 	77.60 
658	79.70 	79.85 	79.76 	76.64 	75.84 	77.77 
656	79.53 	80.11 	79.60 	76.47 	75.75 	77.58 
654	79.43 	79.97 	79.65 	76.50 	75.63 	77.60 
652	79.60 	79.94 	79.55 	76.79 	75.48 	77.72 
650	79.55 	79.95 	79.69 	76.58 	75.62 	77.70 
648	79.51 	80.10 	79.70 	76.70 	75.74 	77.51 
646	79.47 	80.02 	79.63 	76.57 	75.70 	77.58 
644	79.52 	79.92 	79.56 	76.62 	75.62 	77.42 
642	79.46 	79.89 	79.64 	76.55 	75.71 	77.51 
640	79.43 	80.09 	79.52 	76.58 	75.82 	77.61 
638	79.41 	80.03 	79.61 	76.63 	75.60 	77.59 
636	79.40 	79.86 	79.68 	76.63 	75.71 	77.57 
634	79.60 	79.84 	79.56 	76.63 	75.55 	77.57 
632	79.68 	79.89 	79.55 	76.66 	75.66 	77.48 
630	79.48 	80.15 	79.44 	76.68 	75.63 	77.54 
628	79.53 	79.93 	79.69 	76.53 	75.85 	77.57 
626	79.45 	80.02 	79.52 	76.56 	75.60 	77.48 
624	79.48 	79.94 	79.59 	76.65 	75.60 	77.76 
622	79.38 	79.93 	79.58 	76.39 	75.58 	77.49 
620	79.52 	80.01 	79.59 	76.59 	75.61 	77.47 
618	79.51 	79.68 	79.66 	76.52 	75.69 	77.43 
616	79.54 	80.09 	79.59 	76.46 	75.72 	77.53 
614	79.48 	79.88 	79.50 	76.60 	75.49 	77.59 
612	79.50 	79.90 	79.61 	76.56 	75.67 	77.54 
610	79.36 	79.99 	79.67 	76.68 	75.58 	77.66 
608	79.44 	79.88 	79.55 	76.54 	75.52 	77.40 
606	79.50 	79.84 	79.53 	76.57 	75.58 	77.49 
604	79.37 	80.01 	79.55 	76.55 	75.40 	77.45 
602	79.37 	79.99 	79.57 	76.58 	75.46 	77.45 
600	79.33 	79.87 	79.57 	76.47 	75.41 	77.32 
598	79.43 	79.89 	79.36 	76.47 	75.47 	77.37 
596	79.39 	79.76 	79.38 	76.39 	75.36 	77.46 
594	79.47 	79.87 	79.51 	76.37 	75.30 	77.42 
592	79.27 	79.81 	79.38 	76.34 	75.52 	77.43 
590	79.33 	79.74 	79.63 	76.37 	75.26 	77.35 
588	79.46 	79.68 	79.37 	76.36 	75.41 	77.27 
586	79.29 	79.64 	79.46 	76.27 	75.43 	77.34 
584	79.18 	79.92 	79.43 	76.30 	75.43 	77.38 
582	79.44 	79.65 	79.30 	76.26 	75.33 	77.40 
580	79.06 	79.88 	79.39 	76.41 	75.27 	77.35 
578	79.41 	79.69 	79.40 	76.38 	75.35 	77.23 
576	79.29 	79.52 	79.39 	76.20 	75.31 	77.17 
574	79.16 	79.73 	79.09 	76.24 	75.23 	77.11 
572	79.28 	79.52 	79.04 	76.30 	75.08 	77.11 
570	79.10 	79.55 	79.14 	76.16 	75.24 	77.03 
568	79.14 	79.52 	79.18 	76.22 	75.15 	77.09 
566	79.21 	79.49 	79.26 	76.09 	75.19 	76.98 
564	78.89 	79.63 	79.01 	76.07 	74.95 	76.94 
562	78.87 	79.38 	79.13 	76.08 	75.14 	77.13 
560	79.08 	79.58 	78.99 	76.19 	74.96 	76.95 
558	78.91 	79.43 	79.08 	76.02 	75.04 	76.98 
556	78.83 	79.42 	78.93 	76.09 	75.10 	77.06 
554	78.95 	79.33 	78.90 	76.09 	75.12 	76.83 
552	78.87 	79.35 	78.82 	75.87 	75.03 	76.78 
550	78.78 	79.38 	79.04 	75.86 	74.91 	76.80 
548	78.73 	79.33 	78.73 	75.92 	74.78 	76.74 
546	78.78 	79.26 	78.81 	76.12 	74.92 	76.68 
544	78.81 	79.17 	78.79 	75.77 	74.82 	76.65 
542	78.75 	79.19 	78.72 	75.89 	74.74 	76.73 
540	78.62 	79.02 	78.87 	75.89 	74.71 	76.70 
538	78.49 	79.31 	78.73 	75.72 	74.46 	76.61 
536	78.60 	79.05 	78.88 	75.83 	74.58 	76.52 
534	78.60 	79.02 	78.69 	75.80 	74.60 	76.52 
532	78.36 	79.08 	78.49 	75.63 	74.59 	76.48 
530	78.40 	79.18 	78.34 	75.63 	74.50 	76.46 
528	78.26 	78.99 	78.40 	75.55 	74.40 	76.37 
526	78.44 	78.95 	78.36 	75.54 	74.41 	76.40 
524	78.22 	79.04 	78.43 	75.46 	74.31 	76.26 
522	78.47 	78.77 	78.25 	75.37 	74.40 	76.25 
520	78.32 	78.86 	78.25 	75.40 	74.41 	76.24 
518	78.25 	78.52 	78.17 	75.52 	74.11 	76.24 
516	78.30 	78.75 	78.15 	75.38 	74.30 	76.00 
514	78.05 	78.68 	78.22 	75.31 	74.18 	76.16 
512	78.20 	78.66 	78.21 	75.21 	74.08 	76.02 
510	78.20 	78.49 	78.24 	75.23 	74.03 	76.08 
508	77.95 	78.76 	77.94 	75.11 	73.97 	76.21 
506	78.12 	78.65 	78.00 	75.04 	73.98 	75.90 
504	78.06 	78.60 	78.16 	75.13 	73.81 	75.97 
502	78.08 	78.44 	77.84 	74.92 	73.74 	75.59 
500	77.99 	78.37 	77.80 	74.78 	73.90 	75.73 
498	77.87 	78.41 	77.88 	74.83 	73.79 	75.72 
496	77.75 	78.27 	77.85 	74.94 	73.73 	75.49 
494	77.57 	78.37 	77.80 	74.94 	73.59 	75.64 
492	77.66 	78.13 	77.66 	74.81 	73.69 	75.47 
490	77.80 	78.05 	77.48 	74.69 	73.50 	75.48 
488	77.44 	78.33 	77.46 	74.70 	73.60 	75.45 
486	77.35 	78.05 	77.51 	74.77 	73.53 	75.55 
484	77.54 	78.00 	77.32 	74.52 	73.57 	75.20 
482	77.67 	77.85 	77.44 	74.54 	73.42 	75.34 
480	77.27 	77.80 	77.19 	74.60 	73.25 	75.05 
478	77.45 	78.09 	77.31 	74.60 	73.24 	75.21 
476	77.20 	77.97 	77.26 	74.37 	73.14 	75.14 
474	77.04 	77.95 	77.24 	74.55 	73.20 	75.03 
472	77.28 	77.71 	77.12 	74.15 	73.03 	75.20 
470	77.25 	77.97 	77.01 	74.17 	72.90 	75.14 
468	77.00 	77.84 	77.13 	73.88 	72.90 	74.89 
466	77.07 	77.35 	76.99 	74.16 	72.96 	74.84 
464	76.84 	77.42 	76.89 	74.12 	72.75 	74.70 
462	76.94 	77.41 	76.98 	73.88 	72.87 	74.56 
460	76.86 	77.38 	76.78 	73.79 	72.66 	74.54 
458	76.92 	77.54 	76.74 	73.81 	72.90 	74.50 
456	76.73 	77.25 	76.60 	74.05 	72.56 	74.31 
454	76.79 	77.36 	76.74 	73.82 	72.38 	74.42 
452	76.59 	77.14 	76.44 	73.55 	72.55 	74.23 
450	76.43 	77.18 	76.73 	73.72 	72.42 	74.61 
448	76.52 	77.08 	76.44 	73.48 	72.40 	74.23 
446	76.65 	77.11 	76.31 	73.67 	72.38 	74.17 
444	76.37 	77.22 	76.44 	73.66 	72.31 	74.10 
442	76.30 	77.03 	76.31 	73.71 	72.10 	74.19 
440	76.36 	76.68 	76.17 	73.53 	72.23 	74.05 
438	76.12 	76.49 	75.87 	73.48 	72.01 	73.92 
436	76.44 	76.74 	75.88 	73.16 	72.29 	73.88 
434	76.29 	76.47 	75.84 	73.10 	71.66 	73.97 
432	76.30 	76.74 	75.93 	73.03 	71.89 	73.82 
430	76.47 	76.54 	75.88 	73.34 	71.55 	73.67 
428	75.68 	76.43 	75.34 	73.36 	71.73 	73.88 
426	76.25 	76.46 	75.88 	73.07 	71.62 	73.48 
424	75.77 	76.30 	75.57 	72.85 	71.44 	73.27 
422	75.33 	76.01 	75.75 	72.94 	71.07 	73.49 
420	75.25 	76.22 	75.64 	72.95 	71.45 	73.01 
418	75.73 	76.40 	75.16 	72.49 	71.50 	73.19 
416	75.74 	76.25 	75.29 	72.43 	71.27 	73.42 
414	74.89 	76.28 	75.02 	72.63 	70.94 	73.42 
412	75.08 	75.79 	74.58 	72.54 	71.43 	73.03 
410	75.10 	75.86 	75.48 	72.28 	70.93 	73.09 
408	75.09 	76.35 	74.77 	72.26 	71.34 	73.15 
406	74.67 	76.14 	74.66 	72.61 	70.70 	72.84 
404	74.64 	76.02 	74.35 	72.05 	70.08 	72.98 
402	75.25 	75.44 	74.15 	72.36 	70.91 	72.43 
400	74.76 	75.45 	74.39 	72.24 	70.54 	72.72 
398	74.71 	75.50 	74.84 	72.05 	70.49 	72.82 
396	74.88 	75.15 	74.52 	72.40 	70.20 	72.13 
394	74.83 	75.29 	74.62 	71.82 	70.86 	72.61 
392	74.87 	75.53 	74.06 	72.04 	70.37 	72.72 
390	73.90 	75.93 	74.62 	72.35 	69.86 	72.28 
388	74.36 	75.80 	74.42 	71.78 	70.18 	72.22 
386	74.20 	75.17 	74.37 	71.39 	70.02 	71.94 
384	73.58 	74.38 	74.96 	71.58 	69.27 	72.05 
382	74.35 	74.30 	74.13 	71.46 	70.99 	71.87 
380	73.85 	74.88 	74.05 	71.58 	69.46 	72.31 
