# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity						
# Coated with Aluminum on 2017-10-20												
# Measured with Subaru Portable Spectrophotometer (SPS) on 2017-10-23 (After 8th Recoating)				
# Measured three times at around the position 1 and two times each at around the position 2 and 3
# Contact: Hirofumi Okita (okita14@naoj.org)    						
#
# Wavelength (nm)	Pos.1 #1	Pos.1 #2	Pos.1 #3	Pos.2 #1	Pos.2 #2	Pos.3 #1	Pos.3 #2
894	89.10 	88.94 	89.38 	89.18 	89.02 	89.30 	89.05 
892	89.20 	88.89 	88.80 	89.08 	88.93 	89.08 	88.98 
890	88.53 	88.81 	88.71 	89.25 	88.96 	89.11 	88.89 
888	88.57 	88.97 	88.51 	88.35 	89.17 	88.67 	88.59 
886	88.54 	88.37 	88.44 	88.20 	88.86 	88.49 	88.39 
884	88.35 	88.36 	88.75 	88.28 	88.58 	88.42 	88.46 
882	88.09 	88.28 	88.60 	88.13 	87.99 	88.07 	88.19 
880	87.81 	88.12 	88.28 	87.60 	88.19 	88.28 	88.31 
878	87.74 	88.29 	88.13 	88.14 	87.91 	88.00 	87.88 
876	88.03 	87.85 	88.02 	87.93 	87.78 	87.74 	87.88 
874	87.43 	87.48 	87.86 	87.61 	87.86 	87.52 	87.53 
872	87.20 	87.64 	87.66 	87.54 	88.10 	87.65 	87.51 
870	87.19 	87.33 	87.28 	87.44 	87.38 	87.55 	87.26 
868	87.48 	87.29 	87.35 	87.59 	87.70 	87.56 	87.51 
866	87.32 	87.14 	87.51 	87.46 	87.34 	87.01 	87.19 
864	86.81 	87.02 	87.04 	86.77 	87.27 	86.87 	86.96 
862	86.90 	86.61 	86.99 	86.97 	86.80 	87.01 	86.95 
860	86.90 	87.01 	87.13 	86.60 	86.53 	86.87 	86.87 
858	86.75 	86.74 	86.95 	86.46 	86.91 	86.52 	86.89 
856	86.57 	86.56 	86.81 	86.66 	86.51 	86.68 	86.77 
854	86.39 	86.41 	86.53 	86.38 	86.29 	86.47 	86.54 
852	86.21 	86.56 	86.27 	86.36 	86.34 	86.51 	86.12 
850	86.46 	86.43 	86.01 	86.32 	86.33 	86.51 	86.29 
848	86.25 	86.39 	86.26 	86.10 	86.47 	86.31 	86.37 
846	85.85 	86.09 	86.30 	86.21 	86.14 	86.44 	86.04 
844	85.96 	85.89 	86.23 	86.34 	86.27 	86.09 	86.12 
842	85.77 	85.71 	86.16 	85.78 	86.27 	85.98 	85.81 
840	85.70 	85.89 	85.93 	85.92 	86.17 	85.78 	85.83 
838	85.62 	85.59 	86.01 	85.85 	85.83 	86.11 	86.18 
836	85.89 	85.65 	85.85 	85.36 	85.77 	85.92 	85.82 
834	85.97 	85.52 	85.79 	85.59 	85.66 	85.64 	85.77 
832	85.97 	85.50 	85.72 	85.79 	85.88 	85.85 	85.74 
830	85.65 	85.65 	85.87 	85.48 	85.96 	86.07 	85.33 
828	85.50 	85.38 	85.33 	85.70 	85.94 	86.18 	85.62 
826	85.84 	85.62 	85.74 	85.42 	85.63 	85.81 	85.77 
824	85.55 	85.60 	85.78 	85.68 	85.53 	85.64 	85.81 
822	85.60 	85.72 	85.79 	85.92 	85.66 	85.54 	85.69 
820	85.94 	85.51 	85.69 	85.59 	85.57 	85.80 	85.68 
818	85.56 	85.64 	85.62 	85.47 	85.82 	85.75 	85.77 
816	85.58 	85.51 	85.62 	85.45 	85.79 	85.60 	85.87 
814	85.72 	85.62 	85.83 	85.71 	85.61 	85.72 	85.71 
812	85.64 	85.94 	85.85 	85.98 	85.86 	85.70 	85.90 
810	85.91 	85.65 	85.67 	85.58 	85.69 	85.85 	85.93 
808	85.73 	85.70 	85.86 	85.66 	85.83 	85.48 	86.28 
806	85.86 	85.72 	85.60 	85.58 	85.95 	85.84 	85.73 
804	86.30 	85.84 	85.98 	85.91 	85.76 	85.62 	85.69 
802	85.89 	86.07 	85.78 	85.79 	86.29 	85.62 	85.97 
800	85.83 	85.78 	85.85 	85.86 	85.96 	85.71 	85.96 
798	85.95 	86.22 	86.24 	86.00 	86.04 	86.22 	85.97 
796	86.11 	86.10 	86.31 	86.06 	86.26 	86.09 	86.09 
794	85.95 	86.07 	86.00 	86.28 	86.25 	86.49 	86.19 
792	86.19 	86.07 	86.30 	86.13 	86.28 	86.15 	86.35 
790	86.25 	86.42 	86.40 	86.34 	86.27 	86.20 	86.25 
788	86.49 	86.51 	86.60 	86.30 	86.39 	86.47 	86.32 
786	86.37 	86.38 	86.67 	86.66 	86.27 	86.27 	86.24 
784	86.49 	86.55 	86.57 	86.51 	86.58 	86.21 	86.52 
782	86.54 	86.63 	86.62 	86.38 	86.71 	86.49 	86.61 
780	86.60 	86.46 	86.80 	86.81 	86.58 	86.50 	86.64 
778	86.60 	86.80 	87.04 	86.67 	86.66 	86.70 	86.47 
776	86.98 	86.93 	87.02 	86.86 	86.69 	86.91 	86.81 
774	87.04 	87.01 	86.98 	86.94 	87.18 	86.88 	86.92 
772	86.80 	86.89 	86.99 	86.84 	86.92 	86.98 	87.03 
770	86.98 	87.05 	87.07 	87.01 	86.92 	87.06 	87.13 
768	87.27 	87.15 	87.09 	87.22 	87.17 	87.14 	87.13 
766	86.93 	87.21 	87.42 	87.07 	87.27 	87.25 	87.24 
764	86.78 	87.26 	87.44 	87.16 	87.45 	87.04 	87.50 
762	87.32 	87.18 	87.43 	87.11 	87.22 	87.54 	87.28 
760	87.24 	87.32 	87.34 	87.42 	87.32 	87.23 	87.01 
758	87.38 	87.35 	87.49 	87.46 	87.59 	87.33 	87.65 
756	87.51 	87.41 	87.55 	87.52 	87.62 	87.49 	87.72 
754	87.47 	87.47 	87.38 	87.55 	87.58 	87.56 	87.55 
752	87.72 	87.68 	87.63 	87.59 	87.82 	87.54 	87.76 
750	87.45 	87.52 	87.66 	87.88 	87.67 	87.72 	87.40 
748	87.65 	87.74 	87.79 	87.75 	87.80 	87.82 	87.85 
746	87.62 	87.62 	87.80 	87.81 	87.75 	87.66 	87.67 
744	87.72 	87.78 	87.84 	87.96 	87.96 	88.03 	87.90 
742	87.88 	87.88 	88.01 	87.92 	87.97 	87.75 	87.89 
740	87.82 	88.03 	87.95 	87.92 	87.92 	88.26 	87.87 
738	88.08 	87.93 	88.12 	87.60 	88.23 	87.88 	87.94 
736	88.08 	88.11 	88.15 	88.04 	88.07 	88.06 	87.94 
734	88.15 	88.06 	88.39 	88.33 	88.24 	88.04 	88.20 
732	88.11 	87.95 	88.25 	88.30 	88.44 	88.30 	88.21 
730	88.23 	88.10 	88.33 	88.08 	88.52 	88.15 	88.11 
728	88.09 	88.28 	88.36 	88.20 	88.25 	88.25 	88.21 
726	88.36 	88.21 	88.34 	88.37 	88.33 	88.29 	88.37 
724	88.50 	88.35 	88.40 	88.24 	88.46 	88.59 	88.23 
722	88.56 	88.49 	88.34 	88.28 	88.45 	88.37 	88.61 
720	88.59 	88.49 	88.68 	88.49 	88.61 	88.37 	88.46 
718	88.31 	88.72 	88.81 	88.71 	88.51 	88.55 	88.73 
716	88.43 	88.49 	88.85 	88.57 	88.63 	88.44 	88.64 
714	88.56 	88.48 	88.76 	88.57 	88.59 	88.82 	88.65 
712	88.64 	88.73 	88.50 	88.68 	88.91 	88.47 	88.66 
710	88.87 	88.76 	88.66 	88.61 	88.69 	88.63 	88.75 
708	88.67 	88.58 	88.68 	88.72 	88.76 	88.72 	88.80 
706	88.68 	88.57 	88.82 	88.58 	88.87 	88.87 	88.86 
704	88.76 	88.76 	89.06 	88.82 	89.13 	88.85 	88.75 
702	88.91 	88.87 	88.86 	88.87 	88.89 	88.79 	88.91 
700	88.83 	89.13 	88.89 	88.88 	88.96 	89.01 	88.89 
698	89.00 	89.09 	89.02 	88.86 	89.00 	89.14 	88.91 
696	89.09 	89.08 	89.02 	89.09 	89.38 	89.02 	88.95 
694	89.04 	89.01 	89.00 	89.08 	89.09 	89.25 	88.97 
692	89.08 	88.99 	89.09 	89.22 	89.19 	88.94 	88.95 
690	89.07 	88.93 	89.11 	89.07 	89.11 	89.14 	88.93 
688	89.29 	89.19 	89.26 	89.19 	89.15 	89.06 	89.17 
686	89.08 	89.14 	89.39 	89.21 	89.17 	89.14 	89.11 
684	89.36 	89.15 	89.21 	89.24 	89.16 	89.24 	89.29 
682	89.07 	89.09 	89.31 	89.21 	89.40 	89.27 	89.19 
680	89.06 	89.23 	89.39 	89.35 	89.23 	89.23 	89.06 
678	89.30 	89.38 	89.45 	89.42 	89.34 	89.35 	89.19 
676	89.25 	89.40 	89.54 	89.26 	89.50 	89.30 	89.31 
674	89.21 	89.35 	89.47 	89.35 	89.18 	89.22 	89.21 
672	89.38 	89.46 	89.30 	89.32 	89.44 	89.37 	89.51 
670	89.47 	89.36 	89.53 	89.36 	89.44 	89.40 	89.43 
668	89.73 	89.43 	89.37 	89.41 	89.43 	89.53 	89.48 
666	89.34 	89.33 	89.53 	89.34 	89.73 	89.51 	89.49 
664	89.64 	89.63 	89.58 	89.55 	89.48 	89.58 	89.28 
662	89.44 	89.55 	89.61 	89.73 	89.66 	89.61 	89.42 
660	89.53 	89.50 	89.60 	89.67 	89.69 	89.56 	89.61 
658	89.60 	89.73 	89.64 	89.71 	89.81 	89.48 	89.74 
656	89.61 	89.75 	89.76 	89.73 	89.65 	89.52 	89.57 
654	89.64 	89.72 	89.98 	89.53 	89.84 	89.71 	89.70 
652	89.75 	89.92 	89.84 	89.79 	89.91 	89.86 	89.77 
650	89.85 	89.72 	89.80 	89.72 	89.91 	89.60 	89.77 
648	89.92 	89.82 	89.95 	89.81 	89.86 	89.98 	89.97 
646	90.00 	89.96 	89.80 	89.73 	89.82 	89.84 	89.91 
644	89.68 	89.82 	89.89 	89.90 	89.74 	89.79 	89.73 
642	89.83 	89.87 	90.05 	89.92 	90.09 	89.93 	89.89 
640	89.83 	90.08 	89.96 	89.97 	89.99 	89.86 	90.05 
638	89.79 	90.07 	90.05 	89.84 	90.11 	89.93 	89.95 
636	89.87 	89.98 	89.99 	89.93 	90.00 	90.04 	89.88 
634	89.95 	90.07 	90.14 	90.00 	90.19 	90.15 	89.93 
632	90.04 	90.09 	90.15 	90.09 	90.27 	90.09 	90.09 
630	90.00 	90.13 	90.00 	89.91 	90.15 	90.20 	89.91 
628	90.08 	90.13 	90.17 	89.98 	90.06 	90.12 	90.04 
626	90.22 	90.04 	90.12 	90.12 	90.21 	90.11 	90.13 
624	90.12 	90.08 	90.20 	90.13 	90.20 	90.14 	89.99 
622	90.09 	90.16 	90.27 	90.20 	90.15 	90.25 	90.24 
620	90.11 	90.16 	90.35 	90.17 	90.45 	90.05 	90.12 
618	90.01 	90.27 	90.18 	90.21 	90.30 	90.16 	90.26 
616	90.34 	90.14 	90.28 	90.32 	90.31 	90.23 	90.02 
614	90.14 	90.36 	90.13 	90.13 	90.40 	90.16 	90.15 
612	90.28 	90.25 	90.36 	90.32 	90.43 	90.30 	90.37 
610	90.39 	90.35 	90.48 	90.18 	90.51 	90.24 	90.41 
608	90.36 	90.41 	90.42 	90.43 	90.42 	90.37 	90.33 
606	90.44 	90.28 	90.55 	90.37 	90.51 	90.44 	90.27 
604	90.41 	90.50 	90.39 	90.40 	90.53 	90.38 	90.18 
602	90.61 	90.38 	90.58 	90.29 	90.65 	90.58 	90.34 
600	90.59 	90.62 	90.47 	90.49 	90.65 	90.56 	90.21 
598	90.40 	90.51 	90.52 	90.34 	90.50 	90.33 	90.31 
596	90.36 	90.58 	90.34 	90.47 	90.47 	90.54 	90.50 
594	90.30 	90.74 	90.58 	90.53 	90.76 	90.45 	90.47 
592	90.50 	90.58 	90.56 	90.33 	90.67 	90.63 	90.42 
590	90.57 	90.59 	90.61 	90.44 	90.55 	90.51 	90.46 
588	90.43 	90.67 	90.47 	90.53 	90.52 	90.61 	90.47 
586	90.67 	90.62 	90.50 	90.59 	90.58 	90.41 	90.51 
584	90.71 	90.55 	90.66 	90.68 	90.65 	90.60 	90.42 
582	90.52 	90.51 	90.62 	90.52 	90.69 	90.59 	90.47 
580	90.78 	90.58 	90.64 	90.65 	90.84 	90.67 	90.50 
578	90.61 	90.61 	90.68 	90.68 	90.67 	90.72 	90.56 
576	90.47 	90.89 	90.75 	90.75 	90.78 	90.85 	90.69 
574	90.71 	90.66 	90.70 	90.66 	90.72 	90.56 	90.67 
572	90.74 	90.76 	90.79 	90.73 	90.60 	90.73 	90.55 
570	90.74 	90.80 	90.88 	90.77 	90.68 	90.73 	90.62 
568	90.68 	90.63 	90.72 	90.74 	90.94 	90.70 	90.59 
566	90.80 	90.82 	90.71 	90.82 	90.74 	90.62 	90.82 
564	90.75 	91.03 	90.74 	90.78 	90.89 	90.84 	90.76 
562	90.66 	90.82 	91.05 	90.83 	90.98 	90.95 	90.67 
560	90.69 	90.82 	90.99 	90.85 	90.85 	91.00 	90.72 
558	90.74 	90.81 	90.99 	90.82 	90.94 	90.92 	90.67 
556	90.85 	90.83 	91.05 	90.88 	90.94 	90.80 	90.76 
554	90.93 	91.10 	90.78 	90.80 	91.02 	91.15 	90.97 
552	90.86 	90.76 	90.93 	90.92 	90.79 	90.90 	91.00 
550	90.82 	90.97 	90.92 	90.79 	90.93 	90.89 	90.90 
548	91.01 	91.03 	90.83 	91.22 	91.15 	91.04 	90.58 
546	90.77 	91.00 	90.94 	91.06 	91.04 	90.90 	91.00 
544	90.76 	91.04 	91.07 	90.86 	90.95 	90.94 	91.01 
542	91.25 	91.01 	91.04 	91.09 	91.04 	90.97 	90.89 
540	91.21 	90.92 	91.17 	90.82 	91.06 	91.04 	90.83 
538	91.05 	91.01 	91.13 	91.19 	91.29 	91.05 	90.83 
536	90.88 	90.89 	91.08 	90.89 	91.37 	91.05 	91.00 
534	90.82 	90.99 	91.02 	91.18 	91.07 	91.08 	90.91 
532	90.79 	90.97 	91.17 	91.06 	91.20 	91.25 	90.96 
530	90.98 	90.95 	91.16 	91.00 	91.18 	91.28 	91.14 
528	91.22 	91.18 	91.04 	91.19 	91.20 	90.94 	90.92 
526	90.93 	90.92 	91.10 	91.07 	91.06 	91.08 	91.21 
524	91.16 	91.13 	91.28 	91.01 	91.27 	90.97 	91.04 
522	91.22 	91.28 	91.21 	90.97 	91.32 	91.04 	91.11 
520	91.12 	91.14 	91.16 	91.15 	91.26 	91.18 	91.35 
518	91.04 	91.19 	91.11 	91.01 	91.37 	91.16 	91.13 
516	91.06 	91.16 	91.09 	91.23 	91.17 	91.33 	91.23 
514	91.18 	91.13 	91.16 	91.08 	91.12 	91.31 	91.19 
512	91.22 	91.14 	91.31 	91.25 	91.28 	91.30 	91.07 
510	91.10 	91.26 	91.09 	91.22 	91.24 	91.12 	91.05 
508	91.20 	91.40 	91.38 	91.31 	91.29 	91.10 	91.29 
506	91.32 	91.08 	91.21 	91.37 	91.22 	91.22 	91.22 
504	91.19 	91.42 	91.31 	91.26 	91.19 	91.23 	91.03 
502	91.26 	91.42 	91.36 	91.28 	91.42 	91.07 	91.36 
500	91.32 	91.29 	91.27 	91.41 	91.55 	91.27 	91.24 
498	91.16 	91.33 	91.27 	91.33 	91.41 	91.22 	91.37 
496	91.24 	91.56 	91.25 	91.25 	91.57 	91.26 	91.22 
494	91.27 	91.31 	91.28 	91.39 	91.46 	91.23 	91.26 
492	91.42 	91.33 	91.56 	91.36 	91.45 	91.41 	91.44 
490	91.19 	91.24 	91.37 	91.33 	91.35 	91.37 	91.35 
488	91.05 	91.10 	91.27 	91.39 	91.46 	91.41 	91.37 
486	91.26 	91.40 	91.55 	91.23 	91.38 	91.18 	91.33 
484	91.47 	91.32 	91.24 	91.28 	91.41 	91.35 	91.29 
482	91.48 	91.23 	91.54 	91.15 	91.48 	91.29 	91.15 
480	91.28 	91.25 	91.36 	91.41 	91.57 	91.41 	91.40 
478	91.28 	91.32 	91.55 	91.33 	91.39 	91.20 	91.36 
476	91.44 	91.35 	91.40 	91.30 	91.55 	91.59 	91.51 
474	91.19 	91.46 	91.62 	91.51 	91.33 	91.40 	91.27 
472	91.40 	91.30 	91.50 	91.49 	91.58 	91.39 	91.26 
470	91.45 	91.67 	91.66 	91.41 	91.12 	91.54 	91.44 
468	91.59 	91.54 	91.57 	91.20 	91.31 	91.64 	91.44 
466	91.39 	91.24 	91.37 	91.29 	91.45 	91.49 	91.31 
464	91.38 	91.26 	91.42 	91.54 	91.58 	91.75 	91.36 
462	91.42 	91.50 	91.56 	91.47 	91.67 	91.53 	91.52 
460	91.79 	91.29 	91.50 	91.45 	91.34 	91.43 	91.66 
458	91.55 	91.71 	91.55 	91.53 	91.50 	91.42 	91.39 
456	91.63 	91.57 	91.52 	91.76 	91.49 	91.47 	91.12 
454	91.21 	91.63 	91.28 	91.31 	91.57 	91.70 	91.22 
452	91.61 	91.86 	91.45 	91.77 	91.50 	91.51 	91.46 
450	91.74 	91.70 	91.61 	91.46 	91.55 	91.24 	91.54 
448	91.38 	91.54 	91.80 	91.50 	91.74 	91.76 	91.29 
446	91.49 	91.52 	91.80 	91.03 	91.85 	91.53 	91.27 
444	91.60 	91.74 	91.35 	91.63 	91.49 	91.69 	91.58 
442	91.33 	91.20 	91.70 	91.41 	91.34 	91.55 	91.70 
440	91.52 	91.70 	91.72 	91.68 	91.56 	91.65 	91.41 
438	91.60 	91.54 	91.68 	91.44 	91.42 	91.79 	91.56 
436	91.71 	91.91 	91.65 	91.50 	91.88 	91.69 	91.46 
434	91.74 	91.53 	91.70 	91.72 	91.79 	91.34 	91.45 
432	91.18 	91.70 	91.45 	91.55 	91.22 	91.49 	91.76 
430	91.22 	91.69 	91.77 	91.74 	91.64 	91.68 	91.22 
428	91.70 	91.52 	91.51 	91.65 	91.57 	91.56 	91.43 
426	91.82 	91.76 	91.81 	91.77 	91.58 	91.69 	91.67 
424	91.63 	91.53 	91.79 	91.58 	91.99 	91.65 	91.51 
422	91.77 	91.24 	91.80 	91.32 	91.81 	91.31 	91.39 
420	91.63 	91.67 	91.51 	91.49 	91.60 	91.69 	91.91 
418	91.74 	91.71 	91.83 	91.96 	91.71 	91.38 	91.59 
416	91.79 	91.63 	91.77 	91.15 	91.89 	91.41 	91.90 
414	92.03 	91.42 	91.88 	91.73 	91.89 	92.04 	91.39 
412	91.71 	91.53 	92.14 	91.91 	91.78 	91.87 	91.34 
410	91.95 	91.67 	91.85 	91.84 	91.55 	92.03 	91.44 
408	91.95 	91.07 	91.30 	91.63 	91.90 	92.15 	91.40 
406	91.88 	91.72 	91.31 	91.74 	91.74 	92.24 	91.37 
404	91.84 	91.88 	91.69 	92.13 	91.76 	91.76 	91.55 
402	92.30 	91.44 	92.09 	91.24 	91.74 	91.51 	91.88 
400	91.47 	92.25 	92.47 	91.24 	92.44 	92.01 	91.88 
398	91.74 	91.69 	91.70 	91.56 	91.94 	92.20 	91.30 
396	91.60 	91.28 	91.35 	92.02 	91.21 	91.96 	91.78 
394	91.97 	91.83 	91.28 	91.71 	91.46 	92.16 	92.02 
392	92.22 	92.45 	91.28 	91.62 	91.66 	91.73 	91.22 
390	91.65 	91.47 	91.52 	91.58 	91.49 	91.81 	91.27 
388	91.46 	91.77 	91.42 	91.54 	91.82 	91.70 	91.76 
386	91.79 	92.09 	91.33 	91.34 	91.75 	91.92 	91.27 
384	92.20 	92.05 	91.79 	90.91 	92.20 	92.13 	92.01 
382	91.68 	91.80 	91.34 	91.91 	92.31 	90.84 	91.45 
380	92.06 	91.56 	91.96 	92.08 	90.70 	92.92 	91.59 

