# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2019-01-31 (468 days after, pre CO2 cleaning)
# Measured four times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3	Pos.3 #4
830 	81.74	81.51	81.43	81.39
828 	81.31	81.72	81.65	81.44
826 	81.58	81.35	81.77	81.38
824 	81.45	81.51	81.53	81.39
822 	81.35	81.43	81.64	81.51
820 	81.65	81.24	81.48	81.20
818 	81.60	81.50	81.24	81.05
816 	81.68	81.69	81.20	81.10
814 	81.52	81.65	81.25	81.33
812 	81.64	81.69	81.58	81.49
810 	81.65	81.29	81.06	81.41
808 	81.63	81.63	81.51	81.12
806 	81.65	81.81	81.58	81.67
804 	81.94	81.79	81.40	81.21
802 	81.70	81.52	81.62	81.63
800 	81.85	81.71	81.85	81.69
798 	81.65	81.76	81.56	81.60
796 	81.92	82.11	81.92	81.74
794 	81.97	82.07	81.84	82.14
792 	82.07	82.18	81.99	81.74
790 	82.47	81.96	82.11	81.82
788 	82.29	81.98	82.26	82.18
786 	82.21	82.52	82.55	82.16
784 	82.54	82.21	82.36	82.01
782 	82.26	82.27	82.48	82.06
780 	82.57	82.53	82.54	82.72
778 	82.57	82.53	82.71	82.44
776 	82.61	82.56	82.48	82.13
774 	82.65	82.65	82.67	82.43
772 	82.70	82.56	82.96	82.59
770 	82.80	83.08	82.62	82.42
768 	82.78	82.90	82.73	82.67
766 	82.81	82.82	82.85	82.79
764 	83.04	83.08	83.00	82.90
762 	83.37	83.13	83.14	82.82
760 	83.21	82.94	83.17	83.12
758 	83.10	83.24	83.25	82.97
756 	83.40	83.26	83.21	83.04
754 	83.26	83.31	83.35	83.23
752 	83.44	83.34	83.36	83.42
750 	83.47	83.82	83.57	83.11
748 	83.55	83.82	83.56	83.40
746 	83.59	83.45	83.60	83.48
744 	83.61	83.69	83.69	83.38
742 	83.72	83.76	83.60	83.70
740 	83.80	83.76	83.81	83.87
738 	83.82	83.58	83.68	83.62
736 	83.94	83.90	84.21	83.59
734 	83.88	84.25	83.86	83.73
732 	84.09	84.04	84.07	83.80
730 	83.75	84.05	84.04	83.82
728 	84.13	84.06	84.13	83.96
726 	84.25	84.05	84.21	84.09
724 	84.26	84.19	84.21	83.97
722 	84.20	84.10	84.12	84.04
720 	84.18	84.39	84.04	84.03
718 	84.46	84.32	84.60	84.08
716 	84.32	84.32	84.16	84.20
714 	84.18	84.65	84.45	84.12
712 	84.30	84.44	84.64	84.01
710 	84.56	84.60	84.34	84.15
708 	84.62	84.67	84.31	84.46
706 	84.56	84.60	84.47	84.30
704 	84.51	84.51	84.47	84.29
702 	84.58	84.52	84.61	84.60
700 	84.59	84.48	84.83	84.45
698 	84.78	84.81	84.72	84.48
696 	84.68	84.92	84.70	84.55
694 	84.78	84.88	84.77	84.80
692 	84.83	84.84	84.80	84.81
690 	84.88	84.78	85.01	84.76
688 	84.86	84.86	84.67	84.64
686 	85.04	84.78	84.84	84.65
684 	85.01	84.74	84.81	84.79
682 	84.91	84.71	84.80	84.81
680 	84.85	85.03	85.01	84.85
678 	85.16	85.22	84.94	84.90
676 	85.08	84.87	85.11	85.01
674 	84.92	84.98	85.08	84.90
672 	85.29	85.02	85.07	84.98
670 	85.19	85.22	85.06	84.85
668 	85.10	85.06	85.18	84.94
666 	85.41	85.29	85.14	85.13
664 	85.13	85.25	85.25	85.12
662 	85.21	85.28	85.33	84.94
660 	85.28	85.30	85.17	84.91
658 	85.43	85.33	85.04	85.14
656 	85.31	85.28	85.31	85.24
654 	85.29	85.38	85.42	85.28
652 	85.43	85.38	85.31	85.28
650 	85.34	85.61	85.29	85.16
648 	85.35	85.36	85.18	85.31
646 	85.50	85.58	85.36	85.45
644 	85.44	85.73	85.18	85.12
642 	85.54	85.48	85.64	85.22
640 	85.48	85.48	85.37	85.26
638 	85.49	85.54	85.51	85.25
636 	85.58	85.50	85.45	85.28
634 	85.50	85.57	85.55	85.33
632 	85.53	85.65	85.68	85.44
630 	85.57	85.68	85.75	85.37
628 	85.57	85.62	85.55	85.33
626 	85.58	85.50	85.53	85.35
624 	85.51	85.64	85.55	85.40
622 	85.69	85.71	85.58	85.40
620 	85.70	85.74	85.77	85.58
618 	85.43	85.68	85.70	85.23
616 	85.84	85.84	85.57	85.42
614 	85.57	85.54	85.69	85.51
612 	85.86	85.58	85.67	85.49
610 	85.71	85.77	85.44	85.66
608 	85.87	85.67	85.74	85.50
606 	85.79	85.75	85.77	85.50
604 	85.73	85.72	85.57	85.74
602 	85.71	85.68	85.71	85.57
600 	85.60	85.85	85.83	85.66
598 	85.86	85.90	85.76	85.54
596 	85.60	85.86	85.58	85.56
594 	85.79	85.77	85.91	85.47
592 	85.95	85.91	85.80	85.81
590 	85.77	85.74	85.76	85.54
588 	85.88	85.86	85.60	85.73
586 	85.81	85.90	85.52	85.67
584 	85.80	85.93	85.79	85.64
582 	85.80	85.76	85.93	85.70
580 	85.82	85.91	85.66	85.74
578 	85.70	85.71	85.82	85.67
576 	85.76	85.59	85.73	85.68
574 	85.69	85.83	85.79	85.73
572 	85.76	85.93	85.68	85.72
570 	85.77	86.01	85.62	85.64
568 	86.04	85.93	86.00	85.75
566 	85.76	85.90	86.09	85.82
564 	85.86	85.81	85.87	85.68
562 	85.98	85.89	85.90	85.53
560 	85.78	85.76	85.91	85.78
558 	85.94	85.88	85.67	85.71
556 	86.07	85.88	85.78	85.83
554 	85.90	85.86	86.01	85.89
552 	85.76	85.76	85.97	85.76
550 	85.87	85.96	85.67	85.87
548 	85.79	85.91	85.62	85.46
546 	85.81	85.71	85.72	85.61
544 	85.85	85.75	85.82	85.66
542 	85.97	85.66	85.74	85.61
540 	85.85	85.93	85.87	85.79
538 	85.84	85.99	85.72	85.51
536 	85.67	85.87	85.79	85.83
534 	85.71	85.71	85.98	85.75
532 	85.74	85.69	85.70	85.65
530 	85.88	85.58	85.66	85.72
528 	85.99	85.78	85.75	85.61
526 	85.80	85.88	86.01	85.55
524 	85.75	85.69	85.74	85.61
522 	85.67	85.76	85.80	85.67
520 	85.72	85.72	85.74	85.73
518 	85.72	85.69	85.82	85.90
516 	85.82	85.74	85.68	85.70
514 	85.85	85.72	85.71	85.64
512 	85.96	85.69	85.80	85.75
510 	85.78	85.84	85.70	85.50
508 	85.59	85.75	85.85	85.59
506 	85.49	85.69	85.73	85.46
504 	85.71	85.88	85.84	85.77
502 	85.87	85.74	85.90	85.47
500 	86.05	85.67	85.77	85.51
498 	85.66	85.60	85.41	85.44
496 	85.75	85.76	85.71	85.69
494 	85.55	85.78	85.76	85.75
492 	85.91	85.69	85.63	85.69
490 	85.64	85.59	85.47	85.69
488 	85.83	85.60	85.66	85.37
486 	85.64	85.79	85.56	85.49
484 	85.59	85.81	85.74	85.63
482 	85.71	85.76	85.89	85.69
480 	85.60	85.47	85.88	85.63
478 	86.00	85.89	85.61	85.41
476 	85.70	85.47	85.55	85.63
474 	85.67	85.53	85.62	85.59
472 	85.41	85.52	85.50	85.31
470 	85.66	85.73	85.49	85.57
468 	85.54	85.61	85.33	85.42
466 	85.62	85.33	85.63	85.35
464 	85.54	85.58	85.34	85.48
462 	85.45	85.50	85.53	85.33
460 	85.51	85.62	85.55	85.49
458 	85.61	85.40	85.45	85.67
456 	85.56	85.48	85.64	85.21
454 	85.39	85.64	85.70	85.32
452 	85.67	85.24	85.70	85.29
450 	85.87	85.25	85.44	85.39
448 	85.49	85.40	85.34	85.54
446 	85.54	85.84	85.71	85.33
444 	85.73	85.40	85.66	85.46
442 	85.45	85.09	85.33	85.28
440 	85.46	85.43	85.39	85.27
438 	85.58	85.14	85.21	85.64
436 	85.29	85.03	85.63	85.04
434 	85.56	85.08	85.60	85.38
432 	85.50	85.35	85.50	85.34
430 	85.78	85.22	85.47	85.55
428 	85.45	85.10	85.09	85.47
426 	85.58	85.51	85.52	85.03
424 	85.22	85.99	85.88	85.12
422 	85.55	85.21	85.71	85.40
420 	85.06	85.15	85.11	85.79
418 	85.52	85.46	85.26	85.00
416 	85.45	85.14	84.99	85.08
414 	85.56	85.96	84.98	85.36
412 	85.29	85.36	85.36	85.22
410 	85.29	85.71	85.09	85.74
408 	85.07	84.69	85.59	85.43
406 	85.80	85.04	84.93	85.27
404 	85.77	85.29	85.01	84.90
402 	85.62	84.93	85.00	85.04
400 	85.36	85.45	84.96	84.99
398 	84.55	84.96	85.06	85.32
396 	85.04	84.83	85.35	85.48
394 	85.73	84.44	85.01	85.32
392 	85.93	85.08	84.86	84.53
390 	85.45	85.15	84.82	84.56
388 	85.32	84.95	85.51	84.49
386 	85.83	84.69	85.89	84.59
384 	85.50	84.44	84.73	85.37
382 	85.08	85.08	84.19	84.64
380 	85.33	84.82	86.18	84.77


1650	94.56	94.73	94.47	94.43
1640	94.55	94.74	94.47	94.43
1630	94.56	94.75	94.48	94.44
1620	94.55	94.73	94.48	94.43
1610	94.56	94.74	94.47	94.43
1600	94.55	94.73	94.46	94.43
1590	94.54	94.72	94.45	94.42
1580	94.53	94.71	94.44	94.40
1570	94.52	94.69	94.42	94.39
1560	94.50	94.68	94.41	94.38
1550	94.49	94.66	94.40	94.35
1540	94.47	94.64	94.38	94.34
1530	94.45	94.62	94.35	94.32
1520	94.44	94.61	94.33	94.31
1510	94.42	94.59	94.31	94.28
1500	94.40	94.56	94.29	94.25
1490	94.38	94.54	94.27	94.22
1480	94.35	94.51	94.24	94.21
1470	94.33	94.50	94.22	94.18
1460	94.30	94.47	94.19	94.16
1450	94.28	94.44	94.16	94.12
1440	94.24	94.41	94.13	94.09
1430	94.22	94.38	94.11	94.07
1420	94.20	94.36	94.08	94.04
1410	94.17	94.33	94.06	94.02
1400	94.15	94.31	94.02	93.99
1390	94.12	94.27	94.00	93.97
1380	94.08	94.24	93.96	93.93
1370	94.02	94.19	93.90	93.87
1360	93.98	94.14	93.86	93.83
1350	93.94	94.10	93.82	93.78
1340	93.90	94.05	93.79	93.75
1330	93.86	94.02	93.74	93.71
1320	93.83	93.99	93.71	93.67
1310	93.79	93.94	93.67	93.63
1300	93.75	93.91	93.63	93.59
1290	93.70	93.86	93.59	93.55
1280	93.66	93.81	93.56	93.51
1270	93.62	93.77	93.51	93.47
1260	93.57	93.73	93.46	93.42
1250	93.52	93.68	93.42	93.37
1240	93.47	93.63	93.36	93.32
1230	93.41	93.58	93.31	93.27
1220	93.36	93.52	93.26	93.21
1210	93.30	93.45	93.20	93.16
1200	93.23	93.39	93.14	93.09
1190	93.17	93.32	93.07	93.02
1180	93.08	93.24	93.00	92.94
1170	93.01	93.17	92.93	92.87
1160	92.93	93.11	92.85	92.79
1150	92.86	93.02	92.78	92.72
1140	92.78	92.94	92.70	92.64
1130	92.68	92.84	92.60	92.54
1120	92.58	92.74	92.50	92.45
1110	92.48	92.63	92.40	92.33
1100	92.37	92.51	92.29	92.22
1090	92.24	92.39	92.16	92.09
1080	92.11	92.25	92.03	91.96
1070	91.96	92.10	91.88	91.81
1060	91.81	91.95	91.74	91.65
1050	91.65	91.78	91.57	91.49
1040	91.47	91.60	91.38	91.30
1030	91.28	91.40	91.19	91.11
1020	91.06	91.18	90.98	90.89
1010	90.83	90.94	90.75	90.66
1000	90.57	90.68	90.48	90.41
990	90.30	90.40	90.21	90.12
980	89.97	90.09	89.90	89.80
970	89.64	89.74	89.55	89.46
960	89.25	89.36	89.17	89.08
950	88.83	88.92	88.74	88.65
