# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-10-12 (357 days after)
# Measured four times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3	Pos.3 #4
704 	85.11 	84.97 	84.92 	85.13 
702 	85.13 	85.00 	85.07 	85.18 
700 	85.39 	85.16 	85.02 	85.13 
698 	85.16 	84.99 	85.23 	85.19 
696 	85.41 	85.18 	85.20 	85.40 
694 	85.40 	85.22 	85.08 	85.00 
692 	85.34 	85.18 	85.15 	85.18 
690 	85.44 	85.21 	85.26 	85.19 
688 	85.49 	85.03 	85.31 	85.25 
686 	85.57 	85.19 	85.40 	85.43 
684 	85.73 	85.28 	85.39 	85.44 
682 	85.26 	85.26 	85.39 	85.47 
680 	85.59 	85.56 	85.40 	85.56 
678 	85.62 	85.25 	85.43 	85.25 
676 	85.69 	85.42 	85.50 	85.38 
674 	85.61 	85.45 	85.67 	85.63 
672 	85.66 	85.34 	85.69 	85.48 
670 	85.57 	85.54 	85.61 	85.46 
668 	85.73 	85.32 	85.71 	85.54 
666 	85.74 	85.65 	85.66 	85.56 
664 	85.80 	85.55 	85.50 	85.64 
662 	86.00 	85.69 	85.79 	85.70 
660 	85.85 	85.74 	85.82 	85.77 
658 	85.82 	85.73 	85.67 	85.89 
656 	85.89 	85.66 	85.58 	85.66 
654 	85.83 	85.81 	85.78 	85.94 
652 	85.79 	85.60 	85.68 	85.84 
650 	85.83 	85.54 	85.88 	85.69 
648 	86.07 	85.79 	85.66 	85.71 
646 	85.85 	85.73 	85.99 	85.79 
644 	86.08 	85.87 	85.98 	85.92 
642 	86.06 	85.89 	86.07 	86.04 
640 	86.06 	85.75 	85.98 	86.15 
638 	86.13 	85.85 	85.73 	86.07 
636 	86.03 	85.76 	85.81 	85.94 
634 	85.94 	86.11 	85.86 	86.06 
632 	86.30 	86.02 	85.94 	85.93 
630 	86.20 	85.73 	85.87 	85.74 
628 	86.03 	86.00 	85.76 	85.93 
626 	85.93 	85.95 	86.14 	86.09 
624 	86.17 	86.03 	86.02 	85.92 
622 	86.15 	85.88 	86.04 	86.30 
620 	86.23 	85.94 	86.06 	86.00 
618 	86.21 	85.76 	86.05 	86.14 
616 	86.15 	85.97 	86.00 	86.14 
614 	86.18 	86.03 	86.10 	86.02 
612 	86.19 	86.07 	86.27 	86.11 
610 	86.09 	86.13 	85.86 	86.06 
608 	86.12 	86.02 	86.16 	86.46 
606 	86.35 	86.04 	85.97 	86.22 
604 	86.19 	85.97 	85.93 	86.15 
602 	86.38 	86.10 	86.02 	86.21 
600 	86.33 	86.11 	86.29 	86.18 
598 	86.46 	85.93 	86.06 	86.20 
596 	86.22 	86.07 	86.32 	86.32 
594 	86.40 	86.03 	86.16 	86.39 
592 	86.35 	86.19 	85.95 	86.16 
590 	86.29 	86.00 	86.28 	86.07 
588 	86.24 	86.08 	86.16 	86.21 
586 	86.22 	85.99 	86.27 	86.25 
584 	86.28 	86.08 	86.04 	86.26 
582 	86.30 	86.13 	86.38 	86.18 
580 	86.34 	86.09 	86.15 	86.26 
578 	86.14 	86.28 	86.00 	86.22 
576 	86.23 	85.94 	86.19 	86.23 
574 	86.29 	86.14 	86.40 	86.26 
572 	86.44 	86.11 	86.17 	86.29 
570 	86.42 	86.18 	86.05 	86.30 
568 	86.28 	86.06 	86.41 	86.35 
566 	86.25 	86.14 	86.26 	86.22 
564 	86.37 	86.30 	86.10 	86.24 
562 	86.47 	86.11 	86.12 	86.36 
560 	86.42 	86.17 	86.26 	86.25 
558 	86.27 	86.14 	86.18 	86.34 
556 	86.48 	86.24 	86.17 	86.09 
554 	86.43 	86.12 	86.36 	86.20 
552 	86.36 	86.13 	86.27 	86.03 
550 	86.45 	86.14 	86.20 	86.21 
548 	86.29 	86.22 	86.13 	86.32 
546 	86.20 	85.96 	86.07 	86.20 
544 	86.28 	86.05 	86.25 	86.16 
542 	86.14 	86.09 	86.21 	86.39 
540 	86.16 	86.22 	86.12 	86.16 
538 	86.25 	86.11 	86.07 	86.24 
536 	86.26 	86.25 	86.16 	86.31 
534 	86.37 	86.16 	86.01 	86.13 
532 	86.38 	86.26 	86.23 	86.32 
530 	86.22 	86.17 	86.17 	86.22 
528 	86.33 	86.13 	86.20 	86.17 
526 	86.27 	86.16 	86.10 	86.13 
524 	86.20 	85.95 	86.20 	86.31 
522 	86.23 	86.29 	86.23 	86.12 
520 	86.11 	86.19 	86.37 	86.28 
518 	86.19 	86.05 	86.07 	86.18 
516 	86.28 	85.94 	86.20 	86.31 
514 	86.16 	86.03 	86.20 	86.00 
512 	86.35 	85.96 	86.27 	86.36 
510 	86.09 	86.00 	86.33 	85.89 
508 	86.33 	86.00 	86.16 	86.20 
506 	86.30 	86.03 	86.27 	86.25 
504 	86.16 	86.13 	86.08 	86.12 
502 	86.11 	85.99 	86.05 	86.28 
500 	86.11 	85.91 	86.14 	86.07 
498 	86.12 	86.07 	85.97 	86.22 
496 	86.05 	85.78 	86.06 	86.11 
494 	86.20 	86.28 	86.18 	85.98 
492 	85.91 	85.95 	86.03 	86.02 
490 	86.41 	85.93 	85.88 	86.19 
488 	86.15 	86.07 	86.10 	86.17 
486 	86.04 	85.81 	86.10 	86.05 
484 	86.13 	85.78 	85.94 	86.04 
482 	85.85 	86.07 	86.05 	86.17 
480 	86.02 	85.99 	85.88 	85.86 
478 	85.95 	85.92 	86.03 	85.96 
476 	86.15 	85.88 	86.15 	86.00 
474 	86.05 	86.00 	86.11 	86.05 
472 	86.18 	85.85 	86.15 	86.03 
470 	86.03 	85.88 	85.86 	85.98 
468 	85.77 	86.07 	85.86 	86.01 
466 	85.80 	85.96 	85.99 	85.82 
464 	85.92 	86.24 	86.09 	85.95 
462 	86.08 	85.79 	85.87 	85.85 
460 	85.85 	85.67 	86.15 	86.11 
458 	86.00 	85.87 	85.80 	86.15 
456 	85.86 	85.84 	86.03 	85.76 
454 	85.89 	85.82 	86.07 	85.82 
452 	85.74 	85.72 	86.15 	86.04 
450 	85.51 	85.99 	85.95 	86.05 
448 	85.88 	85.90 	85.97 	86.09 
446 	85.82 	85.76 	85.81 	86.04 
444 	86.08 	85.80 	85.72 	86.13 
442 	85.72 	85.61 	85.81 	86.25 
440 	85.75 	85.70 	85.78 	85.63 
438 	85.83 	85.66 	85.49 	85.52 
436 	85.89 	85.59 	85.76 	85.89 
434 	85.66 	85.77 	85.66 	85.94 
432 	85.57 	85.82 	85.86 	85.79 
430 	85.53 	85.69 	85.83 	86.26 
428 	85.97 	85.66 	85.74 	85.38 
426 	85.66 	85.78 	85.60 	86.04 
424 	86.11 	85.57 	85.62 	85.91 
422 	85.81 	85.72 	85.85 	85.87 
420 	85.79 	85.72 	85.61 	85.71 
418 	85.60 	85.42 	85.98 	85.30 
416 	85.68 	86.06 	86.03 	85.72 
414 	86.44 	86.11 	85.30 	85.56 
412 	85.73 	85.53 	85.69 	85.75 
410 	85.84 	85.51 	85.62 	85.36 
408 	85.58 	85.72 	85.02 	85.22 
406 	86.11 	85.90 	85.70 	85.50 
404 	85.42 	85.21 	86.06 	85.50 
402 	85.70 	85.72 	85.81 	85.46 
400 	85.53 	85.91 	85.56 	85.62 
398 	85.54 	84.83 	84.90 	85.62 
396 	85.20 	85.20 	85.80 	85.83 
394 	85.68 	85.76 	86.23 	85.19 
392 	85.21 	84.99 	85.30 	85.05 
390 	85.93 	85.53 	84.91 	85.59 
388 	85.12 	85.56 	85.62 	85.78 
386 	84.98 	85.45 	85.01 	85.56 
384 	84.05 	85.70 	85.67 	85.81 
382 	85.40 	85.52 	85.48 	85.55 
380 	85.40 	85.34 	85.44 	87.02 


1650	95.21 	95.14 	95.24 	95.20 
1640	95.23 	95.16 	95.25 	95.21 
1630	95.24 	95.15 	95.25 	95.21 
1620	95.24 	95.15 	95.25 	95.22 
1610	95.23 	95.15 	95.25 	95.21 
1600	95.24 	95.14 	95.24 	95.21 
1590	95.23 	95.13 	95.23 	95.20 
1580	95.21 	95.11 	95.21 	95.19 
1570	95.21 	95.10 	95.21 	95.17 
1560	95.19 	95.09 	95.19 	95.16 
1550	95.17 	95.07 	95.18 	95.15 
1540	95.17 	95.05 	95.16 	95.14 
1530	95.15 	95.03 	95.15 	95.11 
1520	95.12 	95.01 	95.12 	95.10 
1510	95.11 	94.99 	95.10 	95.08 
1500	95.09 	94.96 	95.08 	95.05 
1490	95.06 	94.94 	95.07 	95.03 
1480	95.05 	94.92 	95.04 	95.00 
1470	95.02 	94.89 	95.02 	94.98 
1460	95.00 	94.86 	94.99 	94.96 
1450	94.96 	94.83 	94.96 	94.93 
1440	94.95 	94.81 	94.94 	94.91 
1430	94.91 	94.78 	94.91 	94.89 
1420	94.90 	94.75 	94.89 	94.86 
1410	94.87 	94.73 	94.86 	94.84 
1400	94.85 	94.71 	94.83 	94.81 
1390	94.82 	94.67 	94.81 	94.79 
1380	94.78 	94.64 	94.77 	94.75 
1370	94.74 	94.58 	94.72 	94.70 
1360	94.70 	94.54 	94.68 	94.66 
1350	94.65 	94.49 	94.64 	94.61 
1340	94.62 	94.45 	94.60 	94.58 
1330	94.59 	94.42 	94.56 	94.55 
1320	94.55 	94.38 	94.53 	94.51 
1310	94.52 	94.34 	94.49 	94.47 
1300	94.47 	94.30 	94.45 	94.44 
1290	94.44 	94.26 	94.41 	94.40 
1280	94.39 	94.22 	94.37 	94.36 
1270	94.34 	94.17 	94.32 	94.31 
1260	94.31 	94.14 	94.28 	94.26 
1250	94.26 	94.08 	94.23 	94.21 
1240	94.21 	94.03 	94.18 	94.16 
1230	94.17 	93.98 	94.13 	94.11 
1220	94.11 	93.92 	94.08 	94.06 
1210	94.05 	93.86 	94.02 	94.01 
1200	94.00 	93.80 	93.94 	93.93 
1190	93.93 	93.72 	93.88 	93.87 
1180	93.85 	93.64 	93.80 	93.80 
1170	93.78 	93.58 	93.73 	93.72 
1160	93.72 	93.51 	93.67 	93.66 
1150	93.64 	93.43 	93.60 	93.59 
1140	93.55 	93.35 	93.51 	93.50 
1130	93.46 	93.26 	93.42 	93.41 
1120	93.38 	93.15 	93.32 	93.31 
1110	93.26 	93.05 	93.22 	93.21 
1100	93.16 	92.93 	93.11 	93.09 
1090	93.03 	92.81 	92.98 	92.96 
1080	92.89 	92.66 	92.84 	92.83 
1070	92.74 	92.52 	92.70 	92.70 
1060	92.59 	92.36 	92.55 	92.54 
1050	92.42 	92.20 	92.38 	92.37 
1040	92.24 	92.01 	92.20 	92.19 
1030	92.05 	91.82 	92.01 	92.00 
1020	91.83 	91.59 	91.78 	91.78 
1010	91.59 	91.36 	91.55 	91.55 
1000	91.34 	91.11 	91.29 	91.30 
990	91.05 	90.81 	91.02 	91.02 
980	90.73 	90.49 	90.71 	90.71 
970	90.38 	90.15 	90.36 	90.36 
960	90.00 	89.77 	89.98 	89.97 
950	89.58 	89.34 	89.55 	89.54 
